,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS033CB0BB2$\alpha{-}cells$,0,1,1,1,1,0,0
CPI-SS099C401F7$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-CS04F78ACD6$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS0FFBA02F8$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS0C16967C6$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS046B3C139$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS08CC8F9D3$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS0CE2A204A$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-CS0AEE2FB22$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS064C772FE$\beta{-}cells$,0,1,0,0,0,0,0
CPI-SS09EF54490$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS070B0E458$\beta{-}cells$,0,1,0,1,1,0,0
CPI-SS03133B4F2$\beta{-}cells$,0,1,0,1,1,0,1
CPI-SS033CB0BB2$\beta{-}cells$,0,1,1,1,1,0,0
CPI-SS099C401F7$\beta{-}cells$,0,1,1,1,1,0,1
CPI-CS04F78ACD6$\beta{-}cells$,0,1,1,1,1,1,0
CPI-CS0FFBA02F8$\beta{-}cells$,0,1,1,1,1,0,1
CPI-CS0C16967C6$\beta{-}cells$,0,1,1,1,1,0,1
CPI-CS046B3C139$\beta{-}cells$,0,1,1,1,1,1,1
CPI-CS08CC8F9D3$\beta{-}cells$,0,1,1,1,1,1,1
CPI-CS0CE2A204A$\beta{-}cells$,0,1,1,1,1,1,1
CPI-CS0AEE2FB22$\beta{-}cells$,0,1,1,1,1,1,1
CPI-SS09EF54490$\delta{-}cells$,0,1,1,0,0,1,0
CPI-SS03133B4F2$\delta{-}cells$,0,1,0,1,1,0,1
CPI-SS082AD7B6A$\delta{-}cells$,0,1,1,1,1,0,0
CPI-SS033CB0BB2$\delta{-}cells$,0,1,1,1,1,0,0
CPI-SS099C401F7$\delta{-}cells$,0,1,1,1,1,0,1
CPI-CS04F78ACD6$\delta{-}cells$,0,1,1,1,1,1,0
CPI-CS046B3C139$\delta{-}cells$,0,1,1,1,1,1,1
CPI-CS08CC8F9D3$\delta{-}cells$,0,1,1,1,1,1,1
CPI-CS0CE2A204A$\delta{-}cells$,0,1,1,1,1,1,1
CPI-CS0AEE2FB22$\delta{-}cells$,0,1,1,1,1,1,1
CPI-SS09EF54490Acinar cells,0,1,1,0,0,1,0
CPI-CS0D238C22BAcinar cells,0,1,0,0,0,1,1
CPI-SS03133B4F2Acinar cells,0,1,0,1,1,0,1
CPI-SS082AD7B6AAcinar cells,0,1,1,1,1,1,0
CPI-SS033CB0BB2Acinar cells,0,1,1,1,1,0,0
CPI-CS0FFBA02F8Acinar cells,0,1,1,1,1,1,1
CPI-CS0C16967C6Acinar cells,0,1,1,1,1,1,1
CPI-CS046B3C139Acinar cells,0,1,1,1,1,1,1
CPI-CS08CC8F9D3Acinar cells,0,1,1,1,1,1,1
CPI-CS0CE2A204AAcinar cells,0,1,1,1,1,1,1
CPI-CS0AEE2FB22Acinar cells,0,1,1,1,1,1,1
CPI-SS01A8F745ADuctal cells,0,1,1,0,1,0,0
CPI-SS07DFEBFA8Ductal cells,0,1,0,0,0,1,0
CPI-SS09EF54490Ductal cells,0,1,1,0,0,1,0
CPI-SS070B0E458Ductal cells,0,1,0,0,1,0,0
CPI-CS0924060DBDuctal cells,0,1,0,0,1,0,1
CPI-CS0D238C22BDuctal cells,0,1,0,0,0,1,1
CPI-CS0533A30DCDuctal cells,0,1,1,1,1,0,0
CPI-SS03133B4F2Ductal cells,0,1,0,1,1,0,1
CPI-SS033CB0BB2Ductal cells,0,1,1,1,1,0,0
CPI-SS099C401F7Ductal cells,0,1,1,1,1,0,1
CPI-CS04F78ACD6Ductal cells,0,1,1,1,1,1,0
CPI-CS046B3C139Ductal cells,0,1,1,1,1,0,1
CPI-CS08CC8F9D3Ductal cells,0,1,1,1,1,0,1
CPI-CS0CE2A204ADuctal cells,0,1,1,1,1,1,1
CPI-CS0AEE2FB22Ductal cells,0,1,1,1,1,1,1
CPI-SS06B94F144PP cells,0,1,1,0,1,0,1
CPI-SS07DFEBFA8PP cells,0,1,0,0,0,1,0
CPI-SS0907A7598PP cells,0,1,1,1,1,0,0
CPI-SS0586F2596PP cells,0,1,0,0,1,0,0
CPI-SS03A2EFDD5PP cells,0,1,1,1,1,1,0
CPI-SS09EF54490PP cells,0,1,1,0,0,1,0
CPI-SS070B0E458PP cells,0,1,0,1,1,0,0
CPI-CS0924060DBPP cells,0,1,1,0,1,0,1
CPI-CS0D238C22BPP cells,0,1,0,0,0,1,1
CPI-CS0533A30DCPP cells,0,1,1,1,1,0,0
CPI-SS03133B4F2PP cells,0,1,0,1,1,0,1
CPI-SS082AD7B6APP cells,0,1,1,1,1,0,0
CPI-SS033CB0BB2PP cells,0,1,1,1,1,0,0
CPI-SS099C401F7PP cells,0,1,1,1,1,0,1
CPI-SS070C51D94PP cells,0,1,1,1,1,0,1
CPI-CS04F78ACD6PP cells,0,1,1,1,1,1,1
CPI-CS0FFBA02F8PP cells,0,1,1,1,1,1,1
CPI-CS0C16967C6PP cells,0,1,1,1,1,1,1
CPI-CS046B3C139PP cells,0,1,1,1,1,1,1
CPI-CS08CC8F9D3PP cells,0,1,1,1,1,1,1
CPI-CS0CE2A204APP cells,0,1,1,1,1,1,1
CPI-CS0AEE2FB22PP cells,0,1,1,1,1,1,1
CPI-SS09EF54490Stellate cells,0,1,1,0,0,1,0
CPI-SS070B0E458Stellate cells,0,1,0,1,1,0,1
CPI-CS0533A30DCStellate cells,0,1,1,1,1,1,1
CPI-SS03133B4F2Stellate cells,0,1,0,1,1,0,1
CPI-SS033CB0BB2Stellate cells,0,1,1,1,1,0,0
CPI-CS04F78ACD6Stellate cells,0,1,1,1,1,1,0
CPI-CS046B3C139Stellate cells,0,1,1,1,1,1,1
CPI-CS08CC8F9D3Stellate cells,0,1,1,1,1,1,1
CPI-CS0CE2A204AStellate cells,0,1,1,1,1,1,1
CPI-CS0AEE2FB22Stellate cells,0,1,1,1,1,1,1
CPI-SS0F102AAC5$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SS00C069DCB$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-CS0DDFD82E7$\alpha{-}cells$,0,0,1,0,0,1,0
CPI-SS08CA619FE$\alpha{-}cells$,0,0,1,1,1,1,1
CPI-SS0EB3C2743$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SS074CF011C$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-CS0C59AF029$\alpha{-}cells$,0,0,1,0,0,1,1
CPI-SS0ABC5C1B8$\alpha{-}cells$,0,0,1,1,1,0,0
CPI-SS07F60834D$\alpha{-}cells$,0,0,1,1,1,0,0
CPI-SS0302E8E8F$\alpha{-}cells$,0,0,1,1,1,0,1
CPI-SS02D7A1DDE$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SS088A0A760$\alpha{-}cells$,0,0,1,1,1,0,1
CPI-SS0C0A61F92$\alpha{-}cells$,0,0,1,0,1,1,1
CPI-SS09808DEAE$\alpha{-}cells$,0,0,1,1,1,0,0
CPI-SS070C51D94$\alpha{-}cells$,0,0,1,0,1,0,1
CPI-SS0F102AAC5$\beta{-}cells$,0,0,1,0,0,0,0
CPI-SS00C069DCB$\beta{-}cells$,0,0,1,0,0,0,0
CPI-SS0C4E86714$\beta{-}cells$,0,0,1,0,0,0,1
CPI-CS0DDFD82E7$\beta{-}cells$,0,0,1,0,0,1,0
CPI-SS0EB3C2743$\beta{-}cells$,0,0,1,0,0,0,1
CPI-SS074CF011C$\beta{-}cells$,0,0,1,0,1,0,0
CPI-CS0C59AF029$\beta{-}cells$,0,0,1,0,0,0,1
CPI-SS0ABC5C1B8$\beta{-}cells$,0,0,1,1,1,0,0
CPI-SS0A4EE6FE1$\beta{-}cells$,0,0,1,0,0,1,0
CPI-SS02D7A1DDE$\beta{-}cells$,0,0,1,0,0,0,0
CPI-CS0533A30DC$\beta{-}cells$,0,0,1,0,1,0,0
CPI-SS0F00D756A$\beta{-}cells$,0,0,1,0,1,0,1
CPI-SS0C0A61F92$\beta{-}cells$,0,0,1,0,1,1,1
CPI-SS09808DEAE$\beta{-}cells$,0,0,1,1,1,0,0
CPI-SS082AD7B6A$\beta{-}cells$,0,0,1,0,1,0,0
CPI-SS0F102AAC5$\delta{-}cells$,0,0,1,0,0,0,0
CPI-SS07D40A3F3$\delta{-}cells$,0,0,1,0,0,0,1
CPI-SS0EB3C2743$\delta{-}cells$,0,0,1,0,0,0,0
CPI-CS0C59AF029$\delta{-}cells$,0,0,1,0,0,0,0
CPI-SS0ABC5C1B8$\delta{-}cells$,0,0,1,1,1,0,0
CPI-SS07F60834D$\delta{-}cells$,0,0,1,1,1,0,0
CPI-SS0A4EE6FE1$\delta{-}cells$,0,0,1,0,0,1,0
CPI-SS02D7A1DDE$\delta{-}cells$,0,0,1,0,0,0,0
CPI-CS0533A30DC$\delta{-}cells$,0,0,1,0,1,0,0
CPI-SS0C0A61F92$\delta{-}cells$,0,0,1,0,1,1,1
CPI-CS0FFBA02F8$\delta{-}cells$,0,0,1,1,1,0,1
CPI-CS0C16967C6$\delta{-}cells$,0,0,1,1,1,0,1
CPI-SS0F102AAC5Acinar cells,0,0,1,0,0,0,0
CPI-SS0E25CE362Acinar cells,0,0,1,1,1,1,1
CPI-SS00C069DCBAcinar cells,0,0,1,0,0,0,0
CPI-SS07D40A3F3Acinar cells,0,0,1,0,0,0,0
CPI-CS0C59AF029Acinar cells,0,0,1,0,0,0,1
CPI-SS0ABC5C1B8Acinar cells,0,0,1,1,1,0,0
CPI-SS07F60834DAcinar cells,0,0,1,1,1,0,1
CPI-SS0302E8E8FAcinar cells,0,0,1,1,1,0,0
CPI-CS0533A30DCAcinar cells,0,0,1,0,1,0,0
CPI-CS091BF99D0Acinar cells,0,0,1,0,1,0,1
CPI-SS0C0A61F92Acinar cells,0,0,1,0,1,1,1
CPI-SS09808DEAEAcinar cells,0,0,1,1,1,0,0
CPI-SS05B1FA8A8Acinar cells,0,0,1,1,0,1,1
CPI-SS0F102AAC5Ductal cells,0,0,1,0,0,0,0
CPI-SS0E25CE362Ductal cells,0,0,1,1,1,1,1
CPI-CS0DDFD82E7Ductal cells,0,0,1,0,0,1,0
CPI-SS07D40A3F3Ductal cells,0,0,1,0,0,0,0
CPI-CS0C59AF029Ductal cells,0,0,1,0,0,1,1
CPI-SS0ABC5C1B8Ductal cells,0,0,1,1,1,0,0
CPI-SS07F60834DDuctal cells,0,0,1,1,1,0,0
CPI-SS0302E8E8FDuctal cells,0,0,1,1,1,0,1
CPI-SS088A0A760Ductal cells,0,0,1,1,1,1,1
CPI-CS091BF99D0Ductal cells,0,0,1,1,1,0,1
CPI-SS0F00D756ADuctal cells,0,0,1,0,1,0,1
CPI-SS0C0A61F92Ductal cells,0,0,1,0,1,1,1
CPI-SS082AD7B6ADuctal cells,0,0,1,0,1,0,0
CPI-SS070C51D94Ductal cells,0,0,1,1,1,0,1
CPI-CS0FFBA02F8Ductal cells,0,0,1,1,1,0,1
CPI-CS0C16967C6Ductal cells,0,0,1,1,1,0,1
CPI-SS0F102AAC5PP cells,0,0,1,0,0,0,0
CPI-SS00C069DCBPP cells,0,0,1,0,0,0,0
CPI-CS0DDFD82E7PP cells,0,0,1,0,0,1,0
CPI-SS07D40A3F3PP cells,0,0,1,0,0,0,0
CPI-SS0EB3C2743PP cells,0,0,1,0,0,0,1
CPI-SS074CF011CPP cells,0,0,1,0,0,0,0
CPI-CS0C59AF029PP cells,0,0,1,0,0,1,1
CPI-SS0ABC5C1B8PP cells,0,0,1,1,1,0,0
CPI-SS07F60834DPP cells,0,0,1,1,1,0,1
CPI-SS0302E8E8FPP cells,0,0,1,1,1,0,1
CPI-SS02D7A1DDEPP cells,0,0,1,0,0,0,0
CPI-SS088A0A760PP cells,0,0,1,1,1,1,1
CPI-CS091BF99D0PP cells,0,0,1,1,1,0,1
CPI-SS0F00D756APP cells,0,0,1,0,1,0,1
CPI-SS0C0A61F92PP cells,0,0,1,0,1,1,1
CPI-SS09808DEAEPP cells,0,0,1,1,1,0,0
CPI-CS05426BFFAPP cells,0,0,1,1,1,1,1
CPI-SS0F102AAC5Stellate cells,0,0,1,0,0,0,0
CPI-SS0C4E86714Stellate cells,0,0,1,0,0,0,1
CPI-CS0DDFD82E7Stellate cells,0,0,1,1,1,1,0
CPI-SS07D40A3F3Stellate cells,0,0,1,0,0,0,0
CPI-SS0EB3C2743Stellate cells,0,0,1,0,0,0,0
CPI-SS0055264F3Stellate cells,0,0,1,1,1,1,1
CPI-SS0ABC5C1B8Stellate cells,0,0,1,1,1,0,0
CPI-SS0A19E9C34Stellate cells,0,0,1,1,1,1,1
CPI-SS07F60834DStellate cells,0,0,1,1,1,0,1
CPI-SS088A0A760Stellate cells,0,0,1,1,1,1,1
CPI-SS0C0A61F92Stellate cells,0,0,1,0,1,1,1
CPI-SS070C51D94Stellate cells,0,0,1,1,1,0,1
CPI-CS05426BFFAStellate cells,0,0,1,1,1,1,1
CPI-SS085C150CE$\alpha{-}cells$,0,0,0,1,0,0,0
CPI-SS07A9A501C$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0179FBFD3$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS09C4FCB90$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS027CDEA08$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0898D7F7F$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS07D71C546$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS09A3A441F$\alpha{-}cells$,0,0,0,1,1,1,0
CPI-SS00EDDD458$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0C4D54E39$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0D795AC00$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0055264F3$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0A19E9C34$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS02770D68F$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SC095A2C115$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SC0E9C058EB$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS02FBD007E$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS079728E8B$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-CS06072FF4E$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-CS0E5D1ECCE$\alpha{-}cells$,0,0,0,1,0,1,1
CPI-CS07B61574B$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS085C150CE$\beta{-}cells$,0,0,0,1,0,0,0
CPI-SS07A9A501C$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS02AFCED82$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS09C4FCB90$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS027CDEA08$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS08CA619FE$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS07D71C546$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS09A3A441F$\beta{-}cells$,0,0,0,1,1,1,0
CPI-SS00EDDD458$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0C4D54E39$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0D795AC00$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0055264F3$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0DA033F03$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0A19E9C34$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS02770D68F$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SC095A2C115$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SC0E9C058EB$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0302E8E8F$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS088A0A760$\beta{-}cells$,0,0,0,1,1,0,0
CPI-CS06072FF4E$\beta{-}cells$,0,0,0,1,1,1,1
CPI-CS07B61574B$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS05426BFFA$\beta{-}cells$,0,0,0,1,1,1,1
CPI-SS05B1FA8A8$\beta{-}cells$,0,0,0,1,0,1,1
CPI-SS085C150CE$\delta{-}cells$,0,0,0,1,0,0,0
CPI-SS02AFCED82$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS09C4FCB90$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS027CDEA08$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0898D7F7F$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS08CA619FE$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS0649EA05F$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS07D71C546$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS09A3A441F$\delta{-}cells$,0,0,0,1,1,1,0
CPI-SS00EDDD458$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS06BC4D123$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS0D795AC00$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0055264F3$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0A19E9C34$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS02770D68F$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SC095A2C115$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0302E8E8F$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS088A0A760$\delta{-}cells$,0,0,0,1,1,0,0
CPI-CS06072FF4E$\delta{-}cells$,0,0,0,1,1,1,1
CPI-CS07B61574B$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS085C150CEAcinar cells,0,0,0,1,0,0,0
CPI-SS0DC4D593EAcinar cells,0,0,0,1,1,0,0
CPI-SS07BECB892Acinar cells,0,0,0,1,1,0,1
CPI-SS0179FBFD3Acinar cells,0,0,0,1,1,0,1
CPI-SS09C4FCB90Acinar cells,0,0,0,1,1,0,0
CPI-SS0898D7F7FAcinar cells,0,0,0,1,1,0,1
CPI-SS08CA619FEAcinar cells,0,0,0,1,1,0,0
CPI-SS09A3A441FAcinar cells,0,0,0,1,1,1,0
CPI-SS00EDDD458Acinar cells,0,0,0,1,1,0,1
CPI-SS0D795AC00Acinar cells,0,0,0,1,1,0,1
CPI-SS0055264F3Acinar cells,0,0,0,1,1,0,1
CPI-SS0DA033F03Acinar cells,0,0,0,1,1,0,1
CPI-SS0A19E9C34Acinar cells,0,0,0,1,1,0,1
CPI-SS02770D68FAcinar cells,0,0,0,1,1,0,1
CPI-SC0E9C058EBAcinar cells,0,0,0,1,1,0,1
CPI-SS088A0A760Acinar cells,0,0,0,1,1,0,0
CPI-SS02FBD007EAcinar cells,0,0,0,1,1,0,1
CPI-SS079728E8BAcinar cells,0,0,0,1,1,0,0
CPI-CS06072FF4EAcinar cells,0,0,0,1,1,1,1
CPI-SS0DC4D593EDuctal cells,0,0,0,1,1,0,0
CPI-SS07BECB892Ductal cells,0,0,0,1,1,0,1
CPI-SS0179FBFD3Ductal cells,0,0,0,1,1,0,1
CPI-SS09C4FCB90Ductal cells,0,0,0,1,1,0,0
CPI-SS0898D7F7FDuctal cells,0,0,0,1,1,0,1
CPI-SS08CA619FEDuctal cells,0,0,0,1,1,0,0
CPI-SS0649EA05FDuctal cells,0,0,0,1,1,0,0
CPI-SS07D71C546Ductal cells,0,0,0,1,1,0,1
CPI-SS09A3A441FDuctal cells,0,0,0,1,1,1,0
CPI-SS00EDDD458Ductal cells,0,0,0,1,1,0,0
CPI-SS0C4D54E39Ductal cells,0,0,0,1,1,0,1
CPI-SS06BC4D123Ductal cells,0,0,0,1,1,0,0
CPI-SS0D795AC00Ductal cells,0,0,0,1,1,0,1
CPI-SS0055264F3Ductal cells,0,0,0,1,1,0,0
CPI-SS0A19E9C34Ductal cells,0,0,0,1,1,0,0
CPI-SS02770D68FDuctal cells,0,0,0,1,1,0,1
CPI-SC095A2C115Ductal cells,0,0,0,1,1,0,1
CPI-SC0E9C058EBDuctal cells,0,0,0,1,1,0,1
CPI-SS02FBD007EDuctal cells,0,0,0,1,1,0,0
CPI-SS003C9A532PP cells,0,0,0,1,1,0,1
CPI-SS07A9A501CPP cells,0,0,0,1,1,0,0
CPI-SS02AFCED82PP cells,0,0,0,1,1,0,1
CPI-SS09C4FCB90PP cells,0,0,0,1,1,0,0
CPI-SS027CDEA08PP cells,0,0,0,1,1,0,1
CPI-SS08CA619FEPP cells,0,0,0,1,1,0,0
CPI-SS07D71C546PP cells,0,0,0,1,1,0,1
CPI-SS09A3A441FPP cells,0,0,0,1,1,1,0
CPI-SS00EDDD458PP cells,0,0,0,1,1,0,1
CPI-SS0C4D54E39PP cells,0,0,0,1,1,0,1
CPI-SS0D795AC00PP cells,0,0,0,1,1,0,1
CPI-SS0055264F3PP cells,0,0,0,1,1,0,1
CPI-SS0DA033F03PP cells,0,0,0,1,1,0,1
CPI-SS0A19E9C34PP cells,0,0,0,1,1,0,1
CPI-SS02770D68FPP cells,0,0,0,1,1,0,1
CPI-SC095A2C115PP cells,0,0,0,1,1,0,1
CPI-SC0E9C058EBPP cells,0,0,0,1,1,0,1
CPI-CS0DF85303APP cells,0,0,0,1,1,1,1
CPI-CS08109C435PP cells,0,0,0,1,1,1,1
CPI-CS08A853007PP cells,0,0,0,1,1,1,1
CPI-SS02FBD007EPP cells,0,0,0,1,1,0,0
CPI-SS079728E8BPP cells,0,0,0,1,1,0,0
CPI-CS06072FF4EPP cells,0,0,0,1,1,1,1
CPI-CS0E5D1ECCEPP cells,0,0,0,1,0,1,1
CPI-CS07B61574BPP cells,0,0,0,1,1,0,1
CPI-SS05B1FA8A8PP cells,0,0,0,1,0,1,1
CPI-SS085C150CEStellate cells,0,0,0,1,0,0,0
CPI-SS0DC4D593EStellate cells,0,0,0,1,1,0,0
CPI-SS09C4FCB90Stellate cells,0,0,0,1,1,0,0
CPI-SS027CDEA08Stellate cells,0,0,0,1,1,0,1
CPI-SS08CA619FEStellate cells,0,0,0,1,1,0,0
CPI-SS0649EA05FStellate cells,0,0,0,1,1,0,0
CPI-SS07D71C546Stellate cells,0,0,0,1,1,0,1
CPI-SS00EDDD458Stellate cells,0,0,0,1,1,0,1
CPI-SS0C4D54E39Stellate cells,0,0,0,1,1,0,1
CPI-SS0D795AC00Stellate cells,0,0,0,1,1,0,0
CPI-SS0DA033F03Stellate cells,0,0,0,1,1,0,1
CPI-SS02770D68FStellate cells,0,0,0,1,1,0,1
CPI-CS0484364A2Stellate cells,0,0,0,1,1,1,1
CPI-CS03DF8BD36Stellate cells,0,0,0,1,1,1,1
CPI-CS01319F57AStellate cells,0,0,0,1,1,1,1
CPI-SC0E9C058EBStellate cells,0,0,0,1,1,0,1
CPI-SS02FBD007EStellate cells,0,0,0,1,1,0,0
CPI-CS06072FF4EStellate cells,0,0,0,1,1,1,1
CPI-SS01ECFDA18$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS02AFCED82$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0907A7598$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0586F2596$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0DE0A486F$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS033E6DE7E$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS08083B141$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS0C091F24B$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS090FFEDFE$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0288D901D$\alpha{-}cells$,0,0,0,0,1,1,0
CPI-CS0484364A2$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0C99F8D96$\alpha{-}cells$,0,0,0,0,1,1,0
CPI-CS03DF8BD36$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS01319F57A$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0D35E69F6$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS05EAF93CC$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0DF85303A$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0F6CFB979$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS08109C435$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0EF793D6A$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS08A853007$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0921BB754$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0C0D60519$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0247DA882$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS058910188$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS0E4E75E3B$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS028ACED72$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS075442484$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS08A043594$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-CS05426BFFA$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-SS0179FBFD3$\beta{-}cells$,0,0,0,0,1,0,0
CPI-SS0898D7F7F$\beta{-}cells$,0,0,0,0,1,0,0
CPI-CS0860DA460$\beta{-}cells$,0,0,0,0,1,1,0
CPI-CS017A50010$\beta{-}cells$,0,0,0,0,1,1,0
CPI-CS02AEFFE28$\beta{-}cells$,0,0,0,0,1,1,0
CPI-CS076E1A639$\beta{-}cells$,0,0,0,0,1,1,0
CPI-CS0C091F24B$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS090FFEDFE$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0484364A2$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS03DF8BD36$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS01319F57A$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0D35E69F6$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS05EAF93CC$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0BE59B43E$\beta{-}cells$,0,0,0,0,1,0,0
CPI-CS0DF85303A$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0F6CFB979$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS08109C435$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0EF793D6A$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS08A853007$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0921BB754$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0C0D60519$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS0247DA882$\beta{-}cells$,0,0,0,0,1,1,1
CPI-CS058910188$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS028ACED72$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS08A043594$\beta{-}cells$,0,0,0,0,1,0,1
CPI-SS07A9A501C$\delta{-}cells$,0,0,0,0,1,0,0
CPI-SS0179FBFD3$\delta{-}cells$,0,0,0,0,1,0,0
CPI-SS0907A7598$\delta{-}cells$,0,0,0,0,1,0,0
CPI-SS0DE0A486F$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS0860DA460$\delta{-}cells$,0,0,0,0,1,1,0
CPI-CS017A50010$\delta{-}cells$,0,0,0,0,1,1,0
