,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS05FEE05CB$\delta{-}cells$,0,0,0,0,0,1,1
CPI-SS033E6DE7E$\delta{-}cells$,0,0,0,0,0,1,0
CPI-CS073D36B1D$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0F15C1AB3$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS01A07768A$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS063AE1C91$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0241A1F57$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS02AEFFE28$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS076E1A639$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0055264F3$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0A19E9C34$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0288D901D$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0C99F8D96$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SC095A2C115$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0D35E69F6$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS05EAF93CC$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0DF85303A$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0F6CFB979$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS08109C435$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0EF793D6A$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS08A853007$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0921BB754$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0C0D60519$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0247DA882$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS085C150CEAcinar cells,1,1,1,1,0,0,1
CPI-SS00EC753E6Acinar cells,1,0,0,0,0,0,0
CPI-SS07A9A501CAcinar cells,1,1,0,0,0,1,0
CPI-SS0179FBFD3Acinar cells,1,0,0,1,1,0,0
CPI-SS0C4E86714Acinar cells,1,0,0,0,0,0,0
CPI-CS04DD927C9Acinar cells,1,0,0,0,0,0,1
CPI-CS0B79F5D68Acinar cells,1,0,0,0,0,0,1
CPI-SS09C4FCB90Acinar cells,1,1,1,1,1,1,1
CPI-SS027CDEA08Acinar cells,1,1,1,0,0,1,1
CPI-SS0898D7F7FAcinar cells,1,0,1,1,1,0,0
CPI-SS08CA619FEAcinar cells,1,1,1,1,1,1,1
CPI-SS0649EA05FAcinar cells,1,1,1,0,1,1,1
CPI-SS07D71C546Acinar cells,1,1,1,0,1,1,1
CPI-SS09A3A441FAcinar cells,1,1,1,1,1,1,0
CPI-SS00EDDD458Acinar cells,1,1,1,1,1,1,1
CPI-SS0C4D54E39Acinar cells,1,1,0,0,1,1,1
CPI-SS06BC4D123Acinar cells,1,1,1,1,1,1,1
CPI-SS0FA326344Acinar cells,1,1,0,0,0,1,0
CPI-SS0D795AC00Acinar cells,1,1,1,1,1,1,1
CPI-CS05AB368CEAcinar cells,1,0,0,1,1,0,0
CPI-CS0715DE78DAcinar cells,1,0,0,1,1,0,0
CPI-SS0055264F3Acinar cells,1,1,1,1,1,1,1
CPI-SS0ABC5C1B8Acinar cells,1,1,1,1,1,1,1
CPI-SS0DA033F03Acinar cells,1,1,0,1,0,1,1
CPI-SS0A19E9C34Acinar cells,1,1,1,1,1,1,1
CPI-SS02770D68FAcinar cells,1,1,1,1,1,1,1
CPI-SS07F60834DAcinar cells,1,0,1,1,1,1,1
CPI-SS070B0E458Acinar cells,1,1,1,0,0,1,1
CPI-SC095A2C115Acinar cells,1,1,1,0,1,1,1
CPI-SC0E9C058EBAcinar cells,1,1,1,1,1,1,1
CPI-SS0A4EE6FE1Acinar cells,1,0,0,1,1,0,0
CPI-SS0302E8E8FAcinar cells,1,1,1,1,1,1,1
CPI-CS0924060DBAcinar cells,1,0,0,0,0,0,1
CPI-SS0E91E504DAcinar cells,1,1,1,0,1,1,1
CPI-SS088A0A760Acinar cells,1,1,1,1,1,1,1
CPI-SS02FBD007EAcinar cells,1,1,1,1,1,1,1
CPI-SS01946BE5CAcinar cells,1,0,0,1,1,0,1
CPI-SS079728E8BAcinar cells,1,1,1,1,0,1,1
CPI-CS0533A30DCAcinar cells,1,0,0,0,1,1,1
CPI-CS091BF99D0Acinar cells,1,0,0,0,1,1,1
CPI-SS03133B4F2Acinar cells,1,1,1,1,1,1,1
CPI-SS09808DEAEAcinar cells,1,1,1,1,1,1,1
CPI-SS082AD7B6AAcinar cells,1,0,1,1,0,1,1
CPI-SS034D36D2FAcinar cells,1,1,1,1,1,1,1
CPI-SS033CB0BB2Acinar cells,1,1,1,1,1,1,1
CPI-CS06072FF4EAcinar cells,1,1,1,1,1,1,1
CPI-SS099C401F7Acinar cells,1,1,1,0,1,1,1
CPI-CS0E5D1ECCEAcinar cells,1,1,1,1,1,1,1
CPI-CS04F78ACD6Acinar cells,1,1,1,0,1,1,1
CPI-CS07B61574BAcinar cells,1,1,1,1,1,1,1
CPI-SS05B1FA8A8Acinar cells,1,1,1,1,1,1,1
CPI-CS0FFBA02F8Acinar cells,1,1,1,1,1,1,1
CPI-CS0C16967C6Acinar cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Acinar cells,1,0,1,1,1,1,1
CPI-CS046B3C139Acinar cells,1,1,1,1,1,1,1
CPI-CS08CC8F9D3Acinar cells,1,1,1,1,1,1,1
CPI-CS0CE2A204AAcinar cells,1,1,1,1,1,1,1
CPI-CS0AEE2FB22Acinar cells,1,1,1,1,1,1,1
CPI-SS02AFCED82Acinar cells,0,1,1,0,0,1,0
CPI-SS0E00478B4Acinar cells,0,1,0,0,0,0,0
CPI-SS0907A7598Acinar cells,0,1,0,0,0,1,0
CPI-SS0586F2596Acinar cells,0,1,1,0,0,0,0
CPI-SS0947A8549Acinar cells,0,1,0,0,0,1,0
CPI-SS0F1A060D4Acinar cells,0,1,0,0,0,0,0
CPI-SS03A2EFDD5Acinar cells,0,1,1,0,0,1,0
CPI-SS0C5E9FBFBAcinar cells,0,1,1,0,0,0,0
CPI-CS0FCC00896Acinar cells,0,1,1,0,0,1,0
CPI-CS0CA393CC5Acinar cells,0,1,1,0,0,1,0
CPI-SS082900482Acinar cells,0,1,1,0,0,0,1
CPI-CS0E1BF543EAcinar cells,0,1,1,0,0,1,0
CPI-CS0EC80CA59Acinar cells,0,1,1,0,0,1,0
CPI-CS046BCFC6FAcinar cells,0,1,1,0,0,1,0
CPI-CS047EE9E03Acinar cells,0,1,1,0,0,1,0
CPI-CS02C93975CAcinar cells,0,1,1,0,0,1,0
CPI-CS01A4D7E2FAcinar cells,0,1,1,0,0,1,0
CPI-CS0BEC40E19Acinar cells,0,1,1,0,0,1,0
CPI-CS0AB19226AAcinar cells,0,1,1,0,1,0,1
CPI-SS070C51D94Acinar cells,0,1,1,0,1,1,1
CPI-CS05426BFFAAcinar cells,0,1,1,0,1,1,1
CPI-SS0D2539AEBAcinar cells,0,1,1,1,1,0,1
CPI-SS0DC4D593EAcinar cells,0,0,0,1,1,0,1
CPI-SS07BECB892Acinar cells,0,0,0,1,1,0,0
CPI-SS01A8F745AAcinar cells,0,0,0,1,0,0,0
CPI-CS0C9EE65C2Acinar cells,0,0,0,1,1,0,0
CPI-SS0E25CE362Acinar cells,0,0,0,1,1,0,0
CPI-CS0DEBE7B69Acinar cells,0,0,0,1,1,0,0
CPI-SS091B461CBAcinar cells,0,0,0,1,1,0,0
CPI-SS03165AD8CAcinar cells,0,0,0,1,1,0,0
CPI-SS074CF011CAcinar cells,0,0,0,1,0,0,0
CPI-SS0111AAD26Acinar cells,0,0,0,1,1,0,0
CPI-SS0EDAE16B6Acinar cells,0,0,0,1,1,0,0
CPI-CS0BE59B43EAcinar cells,0,0,0,1,1,0,1
CPI-SS02D7A1DDEAcinar cells,0,0,0,1,1,0,1
CPI-SS0F00D756AAcinar cells,0,0,0,1,0,0,0
CPI-CS058910188Acinar cells,0,0,0,1,1,0,1
CPI-CS0E4E75E3BAcinar cells,0,0,0,1,1,0,1
CPI-CS028ACED72Acinar cells,0,0,0,1,1,0,1
CPI-CS075442484Acinar cells,0,0,0,1,1,0,1
CPI-CS08A043594Acinar cells,0,0,0,1,1,0,1
CPI-CS0E54FF657Acinar cells,0,0,0,0,1,0,1
CPI-CS02957B1BFAcinar cells,0,0,0,0,1,0,1
CPI-CS012D15A88Acinar cells,0,0,0,0,1,0,1
CPI-CS0107C51C6Acinar cells,0,0,0,0,1,0,1
CPI-CS0E997FABDAcinar cells,0,0,0,0,1,0,1
CPI-SS003C9A532Acinar cells,0,0,0,0,0,1,0
CPI-CS0DF85303AAcinar cells,0,0,0,0,0,1,1
CPI-CS08109C435Acinar cells,0,0,0,0,0,1,1
CPI-CS08A853007Acinar cells,0,0,0,0,0,1,1
CPI-SS0F15C1AB3Acinar cells,0,0,0,0,0,0,1
CPI-CS0DDFD82E7Acinar cells,0,0,0,0,0,0,1
CPI-SS0241A1F57Acinar cells,0,0,0,0,0,0,1
CPI-CS02AEFFE28Acinar cells,0,0,0,0,0,0,1
CPI-CS076E1A639Acinar cells,0,0,0,0,0,0,1
CPI-CS0C59AF029Acinar cells,0,0,0,0,0,0,1
CPI-CS0484364A2Acinar cells,0,0,0,0,0,0,1
CPI-CS03DF8BD36Acinar cells,0,0,0,0,0,0,1
CPI-CS01319F57AAcinar cells,0,0,0,0,0,0,1
CPI-CS0F6CFB979Acinar cells,0,0,0,0,0,0,1
CPI-CS0EF793D6AAcinar cells,0,0,0,0,0,0,1
CPI-CS0921BB754Acinar cells,0,0,0,0,0,0,1
CPI-CS0C0D60519Acinar cells,0,0,0,0,0,0,1
CPI-CS0247DA882Acinar cells,0,0,0,0,0,0,1
CPI-SS01ECFDA18Ductal cells,1,0,0,1,1,0,0
CPI-SS00EC753E6Ductal cells,1,0,0,0,0,0,0
CPI-SS06B94F144Ductal cells,1,0,0,0,0,1,0
CPI-SS07A9A501CDuctal cells,1,1,1,0,1,1,1
CPI-SS02AFCED82Ductal cells,1,1,1,0,0,1,0
CPI-SS0179FBFD3Ductal cells,1,1,1,1,1,0,0
CPI-SS0C4E86714Ductal cells,1,0,0,0,0,0,0
CPI-CS04DD927C9Ductal cells,1,0,0,0,0,1,1
CPI-CS0B79F5D68Ductal cells,1,0,0,0,0,1,1
CPI-SS09C4FCB90Ductal cells,1,1,1,1,1,1,1
CPI-SS027CDEA08Ductal cells,1,1,1,0,0,1,1
CPI-SS0898D7F7FDuctal cells,1,1,1,1,1,1,1
CPI-SS0907A7598Ductal cells,1,1,1,1,1,1,1
CPI-SS07D40A3F3Ductal cells,1,1,0,0,0,0,0
CPI-SS0586F2596Ductal cells,1,1,1,0,0,1,0
CPI-SS08CA619FEDuctal cells,1,1,1,1,1,1,1
CPI-SS0DE0A486FDuctal cells,1,1,1,1,1,1,1
CPI-CS0860DA460Ductal cells,1,1,1,1,1,1,1
CPI-CS017A50010Ductal cells,1,1,1,1,1,1,1
CPI-SS0649EA05FDuctal cells,1,1,1,1,1,1,1
CPI-SS07D71C546Ductal cells,1,1,1,0,1,1,1
CPI-SS09A3A441FDuctal cells,1,1,1,1,1,1,0
CPI-SS00EDDD458Ductal cells,1,1,1,1,1,1,1
CPI-SS0C4D54E39Ductal cells,1,1,1,1,1,1,1
CPI-SS033E6DE7EDuctal cells,1,1,1,1,1,1,1
CPI-SS08083B141Ductal cells,1,1,1,1,1,1,1
CPI-CS02AEFFE28Ductal cells,1,1,1,1,1,1,1
CPI-SS06BC4D123Ductal cells,1,1,1,1,1,1,1
CPI-CS076E1A639Ductal cells,1,1,1,1,1,1,1
CPI-SS0FA326344Ductal cells,1,1,0,0,0,1,0
CPI-SS0D795AC00Ductal cells,1,1,1,1,1,1,1
CPI-CS0C091F24BDuctal cells,1,1,1,1,1,1,1
CPI-CS05AB368CEDuctal cells,1,0,0,1,1,0,0
CPI-CS0715DE78DDuctal cells,1,0,0,1,1,0,0
CPI-SS0055264F3Ductal cells,1,1,1,1,1,1,1
CPI-SS0ABC5C1B8Ductal cells,1,1,1,1,1,1,1
CPI-CS090FFEDFEDuctal cells,1,1,1,1,1,1,1
CPI-SS0DA033F03Ductal cells,1,1,1,1,1,1,1
CPI-SS0A19E9C34Ductal cells,1,1,1,1,1,1,1
CPI-SS02770D68FDuctal cells,1,1,1,1,1,1,1
CPI-SS07F60834DDuctal cells,1,0,1,1,1,1,1
CPI-CS0288D901DDuctal cells,1,1,1,1,1,1,1
CPI-CS0484364A2Ductal cells,1,1,1,1,1,1,1
CPI-CS0C99F8D96Ductal cells,1,1,1,1,1,1,1
CPI-SS070B0E458Ductal cells,1,1,1,0,1,1,1
CPI-SS042EB8C7ADuctal cells,1,1,1,0,0,0,0
CPI-CS03DF8BD36Ductal cells,1,1,1,1,1,1,1
CPI-CS01319F57ADuctal cells,1,1,1,1,1,1,1
CPI-SS0273C9AEDDuctal cells,1,0,0,0,0,1,1
CPI-SC095A2C115Ductal cells,1,1,1,0,1,1,1
CPI-SC0E9C058EBDuctal cells,1,1,1,1,1,1,1
CPI-CS0D35E69F6Ductal cells,1,1,1,1,1,1,1
CPI-CS05EAF93CCDuctal cells,1,1,1,1,1,1,1
CPI-SS0302E8E8FDuctal cells,1,1,1,1,1,1,1
CPI-CS0BE59B43EDuctal cells,1,1,0,1,1,0,1
CPI-CS0924060DBDuctal cells,1,0,0,1,1,1,1
CPI-SS0E91E504DDuctal cells,1,1,1,0,1,1,1
CPI-CS0DF85303ADuctal cells,1,1,1,1,1,1,1
CPI-CS0F6CFB979Ductal cells,1,1,1,1,1,1,1
CPI-CS08109C435Ductal cells,1,1,1,1,1,1,1
CPI-CS0EF793D6ADuctal cells,1,1,1,1,1,1,1
CPI-CS08A853007Ductal cells,1,1,1,1,1,1,1
CPI-CS0921BB754Ductal cells,1,1,1,1,1,1,1
CPI-SS088A0A760Ductal cells,1,1,1,1,1,1,1
CPI-CS0C0D60519Ductal cells,1,1,1,1,1,1,1
CPI-CS0247DA882Ductal cells,1,1,1,1,1,1,1
CPI-SS02FBD007EDuctal cells,1,1,1,1,1,1,1
CPI-SS01946BE5CDuctal cells,1,0,0,1,1,0,1
CPI-SS079728E8BDuctal cells,1,1,1,1,0,1,1
CPI-CS0533A30DCDuctal cells,1,1,1,1,1,1,1
CPI-CS091BF99D0Ductal cells,1,0,0,1,1,1,1
CPI-SS0F00D756ADuctal cells,1,1,1,1,1,1,1
CPI-SS0C0A61F92Ductal cells,1,1,1,1,1,1,1
CPI-SS03133B4F2Ductal cells,1,1,1,1,1,1,1
CPI-SS09808DEAEDuctal cells,1,1,1,1,1,1,1
CPI-SS082AD7B6ADuctal cells,1,1,1,1,1,1,1
CPI-SS034D36D2FDuctal cells,1,1,1,1,1,1,1
CPI-SS033CB0BB2Ductal cells,1,1,1,1,1,1,1
CPI-SS0C23EF34BDuctal cells,1,1,1,1,1,1,1
CPI-CS058910188Ductal cells,1,1,1,1,1,1,1
CPI-CS0E4E75E3BDuctal cells,1,0,0,1,1,0,1
CPI-CS028ACED72Ductal cells,1,1,1,1,1,1,1
CPI-CS075442484Ductal cells,1,0,0,1,1,0,1
CPI-CS08A043594Ductal cells,1,1,1,1,1,1,1
CPI-CS06072FF4EDuctal cells,1,1,1,1,1,1,1
CPI-SS099C401F7Ductal cells,1,1,1,0,1,1,1
CPI-SS070C51D94Ductal cells,1,1,1,1,1,1,1
CPI-CS04F78ACD6Ductal cells,1,1,1,0,1,1,1
CPI-CS07B61574BDuctal cells,1,1,1,1,1,1,1
CPI-CS05426BFFADuctal cells,1,1,1,1,1,1,1
CPI-CS0FFBA02F8Ductal cells,1,1,1,1,1,1,1
CPI-CS0C16967C6Ductal cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Ductal cells,1,0,1,1,1,1,1
CPI-CS046B3C139Ductal cells,1,1,1,1,1,1,1
CPI-CS08CC8F9D3Ductal cells,1,1,1,1,1,1,1
CPI-CS0CE2A204ADuctal cells,1,1,1,1,1,1,1
CPI-CS0AEE2FB22Ductal cells,1,1,1,1,1,1,1
CPI-SS0AB647854Ductal cells,0,1,1,0,0,0,1
CPI-CS067298D94Ductal cells,0,1,0,0,0,0,0
CPI-SS0E00478B4Ductal cells,0,1,0,0,0,0,0
CPI-SS0BEAB521FDuctal cells,0,1,1,0,0,0,0
CPI-CS077F1340ADuctal cells,0,1,0,0,0,1,0
CPI-SS0F1A060D4Ductal cells,0,1,1,0,0,0,0
CPI-SS03A2EFDD5Ductal cells,0,1,1,0,0,1,0
CPI-SS0C5E9FBFBDuctal cells,0,1,1,0,0,0,0
CPI-SS074CF011CDuctal cells,0,1,1,1,1,0,1
CPI-CS0FCC00896Ductal cells,0,1,1,0,0,1,0
CPI-CS0CA393CC5Ductal cells,0,1,1,0,0,1,0
CPI-SS082900482Ductal cells,0,1,1,0,0,0,1
CPI-CS0E1BF543EDuctal cells,0,1,1,0,0,1,0
CPI-SS055E061C9Ductal cells,0,1,1,1,1,0,1
CPI-CS0EC80CA59Ductal cells,0,1,1,0,0,1,0
CPI-CS046BCFC6FDuctal cells,0,1,1,0,0,1,0
CPI-CS047EE9E03Ductal cells,0,1,1,0,0,1,0
CPI-CS02C93975CDuctal cells,0,1,1,0,0,1,1
CPI-CS01A4D7E2FDuctal cells,0,1,1,0,0,1,1
CPI-CS0BEC40E19Ductal cells,0,1,1,0,0,1,1
CPI-CS0AB19226ADuctal cells,0,1,1,0,1,0,1
CPI-SS0528A694BDuctal cells,0,1,1,1,1,0,1
CPI-CS0E5D1ECCEDuctal cells,0,1,1,1,1,0,1
CPI-SS0D2539AEBDuctal cells,0,1,1,1,1,0,1
CPI-SS0241A1F57Ductal cells,0,0,1,1,1,0,1
CPI-SS00D153A8ADuctal cells,0,0,1,0,0,1,1
CPI-SS0DC4D593EDuctal cells,0,0,0,1,1,0,1
CPI-SS07BECB892Ductal cells,0,0,0,1,1,0,0
CPI-SS0C1F25516Ductal cells,0,0,0,1,1,1,0
CPI-SS01A8F745ADuctal cells,0,0,0,1,1,0,0
CPI-CS0C9EE65C2Ductal cells,0,0,0,1,0,0,0
CPI-SS0E25CE362Ductal cells,0,0,0,1,1,0,0
CPI-SS01A07768ADuctal cells,0,0,0,1,1,0,1
CPI-SS064C772FEDuctal cells,0,0,0,1,1,0,0
CPI-CS0DEBE7B69Ductal cells,0,0,0,1,1,0,0
CPI-SS091B461CBDuctal cells,0,0,0,1,1,0,0
CPI-SS03165AD8CDuctal cells,0,0,0,1,1,0,0
CPI-SS00046DCF3Ductal cells,0,0,0,1,1,0,1
CPI-SS0EB3C2743Ductal cells,0,0,0,1,1,0,0
CPI-SS0111AAD26Ductal cells,0,0,0,1,1,0,1
CPI-SS0A4EE6FE1Ductal cells,0,0,0,1,1,0,0
CPI-SS02D7A1DDEDuctal cells,0,0,0,1,1,0,1
CPI-SS03CC15FF3Ductal cells,0,0,0,1,1,1,1
CPI-CS0BCDC40FCDuctal cells,0,0,0,0,1,0,1
CPI-CS0E54FF657Ductal cells,0,0,0,0,1,0,1
CPI-CS02957B1BFDuctal cells,0,0,0,0,1,0,1
CPI-CS012D15A88Ductal cells,0,0,0,0,1,0,1
CPI-CS0107C51C6Ductal cells,0,0,0,0,1,0,1
CPI-CS0E997FABDDuctal cells,0,0,0,0,1,0,1
CPI-SS003C9A532Ductal cells,0,0,0,0,0,1,0
CPI-SS09D379E5BDuctal cells,0,0,0,0,0,1,0
CPI-SS0947A8549Ductal cells,0,0,0,0,0,1,0
CPI-SS05FEE05CBDuctal cells,0,0,0,0,0,1,0
CPI-CS073D36B1DDuctal cells,0,0,0,0,0,0,1
CPI-SS0F15C1AB3Ductal cells,0,0,0,0,0,0,1
CPI-SS0B337B316Ductal cells,0,0,0,0,0,0,1
CPI-CS0DDFD82E7Ductal cells,0,0,0,0,0,0,1
CPI-CS0C59AF029Ductal cells,0,0,0,0,0,0,1
CPI-SS05B1FA8A8Ductal cells,0,0,0,0,0,0,1
CPI-SS098425155PP cells,1,1,1,0,0,1,0
CPI-SS00EC753E6PP cells,1,0,0,0,0,0,0
CPI-SS0C4E86714PP cells,1,0,0,0,0,0,0
CPI-SS0BF490275PP cells,1,1,1,0,1,1,1
CPI-CS0AA769F5BPP cells,1,1,1,1,1,1,1
CPI-CS0DDFD82E7PP cells,1,1,1,0,1,1,1
CPI-CS04DD927C9PP cells,1,0,0,0,0,0,1
CPI-CS0B79F5D68PP cells,1,0,0,0,0,0,1
CPI-SS0AFC7BACFPP cells,1,1,1,1,1,1,1
CPI-SS00561BBD7PP cells,1,1,1,1,1,1,1
CPI-SS038E93B77PP cells,1,1,1,1,1,1,1
CPI-SS07DFEBFA8PP cells,1,1,1,0,1,1,1
CPI-CS063AE1C91PP cells,1,1,0,1,1,1,1
CPI-SS07D40A3F3PP cells,1,1,0,0,0,0,0
CPI-SS08CA619FEPP cells,1,0,0,0,0,0,0
CPI-CS0860DA460PP cells,1,1,1,1,1,1,1
CPI-CS017A50010PP cells,1,1,1,1,1,1,1
CPI-SS09A3A441FPP cells,1,1,1,1,1,1,1
CPI-SS05FEE05CBPP cells,1,1,0,0,1,1,1
CPI-SS07833475APP cells,1,1,1,1,1,1,1
CPI-CS02AEFFE28PP cells,1,1,0,1,0,1,1
CPI-CS076E1A639PP cells,1,1,0,1,0,1,1
CPI-SS0FA326344PP cells,1,1,0,0,0,1,0
CPI-CS0C59AF029PP cells,1,0,0,0,1,1,1
CPI-CS0C091F24BPP cells,1,1,1,1,1,1,1
CPI-CS05AB368CEPP cells,1,0,0,1,1,0,0
CPI-CS0715DE78DPP cells,1,0,0,1,1,0,0
CPI-CS090FFEDFEPP cells,1,1,1,1,1,1,1
CPI-SS0DA033F03PP cells,1,0,0,0,0,0,0
CPI-SS00D153A8APP cells,1,0,1,0,0,1,1
CPI-SS0E0BCE16FPP cells,1,1,1,1,1,1,1
CPI-SS09EF54490PP cells,1,1,1,1,1,1,1
CPI-CS0288D901DPP cells,1,1,1,1,1,1,1
CPI-CS0484364A2PP cells,1,1,1,1,1,1,1
CPI-CS0C99F8D96PP cells,1,1,1,1,1,1,1
CPI-SS055E061C9PP cells,1,1,1,1,1,1,1
CPI-SS042EB8C7APP cells,1,1,1,0,0,0,0
CPI-CS03DF8BD36PP cells,1,1,1,1,1,1,1
CPI-CS01319F57APP cells,1,1,1,1,1,1,1
CPI-SS0273C9AEDPP cells,1,0,0,0,0,1,1
CPI-CS0D35E69F6PP cells,1,1,1,1,1,1,1
CPI-SS0A4EE6FE1PP cells,1,1,1,1,1,0,0
CPI-CS05EAF93CCPP cells,1,1,1,1,1,1,1
CPI-SS0EDAE16B6PP cells,1,1,1,1,1,1,1
CPI-CS0BE59B43EPP cells,1,0,0,1,1,0,1
CPI-CS0DF85303APP cells,1,1,1,1,1,1,1
CPI-CS0F6CFB979PP cells,1,1,1,1,1,1,1
CPI-CS08109C435PP cells,1,1,1,1,1,1,1
CPI-CS0EF793D6APP cells,1,1,1,1,1,1,1
CPI-CS08A853007PP cells,1,1,1,1,1,1,1
CPI-CS0D238C22BPP cells,1,1,1,1,1,1,1
CPI-CS0921BB754PP cells,1,1,1,1,1,1,1
CPI-CS0C0D60519PP cells,1,1,1,1,1,1,1
CPI-CS0247DA882PP cells,1,1,1,1,1,1,1
CPI-CS0533A30DCPP cells,1,0,0,0,0,0,1
CPI-CS091BF99D0PP cells,1,0,0,0,0,0,1
CPI-SS0C0A61F92PP cells,1,1,1,1,1,1,1
CPI-SS0C23EF34BPP cells,1,1,1,1,1,1,1
CPI-CS058910188PP cells,1,0,0,1,1,0,1
CPI-CS0E4E75E3BPP cells,1,1,1,1,1,1,1
CPI-CS028ACED72PP cells,1,0,0,1,1,0,1
CPI-CS075442484PP cells,1,1,1,1,1,1,1
CPI-CS08A043594PP cells,1,0,0,1,1,0,1
CPI-CS06072FF4EPP cells,1,1,1,1,1,1,1
CPI-CS0E5D1ECCEPP cells,1,1,1,1,1,1,1
CPI-CS04F78ACD6PP cells,1,1,1,0,1,1,1
CPI-CS05426BFFAPP cells,1,1,1,1,1,1,1
CPI-SS05B1FA8A8PP cells,1,1,1,1,1,1,1
CPI-CS0FFBA02F8PP cells,1,0,0,1,0,1,1
CPI-CS0C16967C6PP cells,1,0,0,1,0,1,1
CPI-CS0AB9C7139PP cells,1,0,1,1,1,1,1
CPI-CS046B3C139PP cells,1,1,1,1,0,1,1
CPI-CS08CC8F9D3PP cells,1,1,1,1,0,1,1
CPI-CS0CE2A204APP cells,1,1,1,1,1,1,1
CPI-CS0AEE2FB22PP cells,1,1,1,1,1,1,1
CPI-CS067298D94PP cells,0,1,0,0,0,0,0
CPI-SS0E00478B4PP cells,0,1,0,0,0,0,0
CPI-SS0907A7598PP cells,0,1,0,0,0,0,0
CPI-SS0BEAB521FPP cells,0,1,1,0,0,0,0
CPI-SS0586F2596PP cells,0,1,1,0,0,0,0
CPI-CS077F1340APP cells,0,1,0,0,0,1,0
CPI-SS0947A8549PP cells,0,1,0,0,0,1,0
CPI-SS0DE0A486FPP cells,0,1,0,0,0,0,0
CPI-SS0F1A060D4PP cells,0,1,1,1,1,0,1
CPI-SS03A2EFDD5PP cells,0,1,1,0,0,1,0
CPI-SS033E6DE7EPP cells,0,1,0,0,0,1,0
CPI-SS0C5E9FBFBPP cells,0,1,1,1,1,0,1
CPI-CS0FCC00896PP cells,0,1,1,0,0,1,0
CPI-CS0CA393CC5PP cells,0,1,1,0,0,1,0
CPI-SS082900482PP cells,0,1,1,0,0,0,1
CPI-CS0E1BF543EPP cells,0,1,1,0,0,1,0
CPI-CS0EC80CA59PP cells,0,1,1,0,0,1,0
CPI-CS046BCFC6FPP cells,0,1,1,0,0,1,0
CPI-CS047EE9E03PP cells,0,1,1,0,0,1,0
CPI-CS02C93975CPP cells,0,1,1,0,0,1,0
CPI-CS01A4D7E2FPP cells,0,1,1,0,0,1,0
CPI-CS0BEC40E19PP cells,0,1,1,0,0,1,0
CPI-SS02FBD007EPP cells,0,1,1,0,0,0,0
CPI-SS079728E8BPP cells,0,1,1,0,0,0,1
CPI-CS0AB19226APP cells,0,1,1,0,1,0,1
CPI-SS0528A694BPP cells,0,1,1,1,1,0,1
CPI-SS0D2539AEBPP cells,0,1,1,1,1,0,1
CPI-SS00C069DCBPP cells,0,0,1,0,0,0,1
CPI-SS08083B141PP cells,0,0,1,0,0,0,0
CPI-SS070B0E458PP cells,0,0,1,0,0,0,0
CPI-SC0E9C058EBPP cells,0,0,1,0,0,0,0
CPI-SS070C51D94PP cells,0,0,1,0,0,0,0
CPI-SS01A8F745APP cells,0,0,0,1,0,0,0
CPI-CS0C9EE65C2PP cells,0,0,0,1,0,0,0
CPI-SS0E25CE362PP cells,0,0,0,1,1,0,0
CPI-SS064C772FEPP cells,0,0,0,1,1,0,0
CPI-CS0DEBE7B69PP cells,0,0,0,1,1,0,0
CPI-SS091B461CBPP cells,0,0,0,1,1,0,0
CPI-SS03165AD8CPP cells,0,0,0,1,1,0,0
CPI-SS00046DCF3PP cells,0,0,0,1,1,0,1
CPI-SS0EB3C2743PP cells,0,0,0,1,1,0,0
CPI-SS0241A1F57PP cells,0,0,0,1,0,0,1
CPI-SS074CF011CPP cells,0,0,0,1,0,0,0
CPI-SS0111AAD26PP cells,0,0,0,1,1,0,1
CPI-SS02D7A1DDEPP cells,0,0,0,1,1,0,1
CPI-SS01946BE5CPP cells,0,0,0,1,1,0,1
CPI-SS03CC15FF3PP cells,0,0,0,1,1,1,1
CPI-SS0F00D756APP cells,0,0,0,1,0,0,0
